,Title,Class
197,Rogue,5.0
198,Crashing (ft. Bahari) – DROELOE Remix,4.0
199,Hate Me - R3HAB Remix,2.0
200,Salvador Dali (Fla.mingo Remix),4.0
201,Bcw,0.0
202,Close to You (feat. Jasmine Sokko),5.0
203,LONG DISTANCE,1.0
204,Never Count On Me,0.0
205,Dollar - 20syl Remix,4.0
206,Every Piece Of Me (with Echos),8.0
207,Contagious,0.0
208,TrusT,4.0
209,About You (feat. Charles X),4.0
210,Good Times Roll,3.0
211,Flames (with ZAYN),0.0
212,Chemicals,0.0
213,Weddings & Funerals,0.0
214,Sail Away,4.0
215,Breaking News (with RAYE),5.0
216,JEKYLL & HIDE,0.0
217,Don't Mind,2.0
218,Two 10s,6.0
219,Hallucinations,0.0
220,Five Months Later,0.0
221,Blacknwhite,4.0
222,Homebound,2.0
223,Ego,5.0
224,Money,2.0
225,In over My Head,0.0
226,Petal Blizzard,0.0
227,P.K.S.,2.0
228,Nobody Else,0.0
229,Strider,2.0
230,Good Nights (feat. Mascolo),6.0
231,Better,3.0
232,Wreck,1.0
233,Miso & Memories,2.0
234,About You (feat. Charles X),4.0
235,Seven Million Faces,5.0
236,Cheek to Cheek - Swing Hop Mix,2.0
237,Learn to Fly,5.0
238,Fever Dreams,2.0
239,Stay,9.0
240,3AM,6.0
241,MARBLE TEA,1.0
242,By Now… - Bronze Whale Remix,2.0
243,Aglomeração a 2,5.0
244,Rosegold (feat. Shreya Preeti),7.0
245,Youth,0.0
246,Karma,9.0
247,You Make My Day,5.0
248,Heavy With Hoping,2.0
249,Warm Blanket,1.0
250,Hide (feat. Seezyn),0.0
251,Ruthless,8.0
252,Redo,0.0
253,play,9.0
254,Wait for You,1.0
255,schizophrenia,9.0
256,Your Power,8.0
257,Heartbreak Anniversary,1.0
258,Beautiful Mistakes (feat. Megan Thee Stallion),2.0
259,my ex's best friend (with blackbear),0.0
260,Mood (feat. iann dior),0.0
261,Runaway,2.0
262,MINT,0.0
263,Take Me To Eterna,0.0
264,Out My Head,0.0
265,Brooklyn '95,6.0
266,Closer,2.0
267,overwhelmed - Ookay remix,4.0
268,Closer,2.0
269,Instant Crush (feat. Julian Casablancas),7.0
270,overwhelmed - Ookay remix,4.0
271,Hiding In The Blue,4.0
272,Heavy Hearted,9.0
273,Hiding In The Blue,4.0
274,Goner,0.0
275,Midweek Blues,5.0
276,Vertigo,5.0
277,Too Soon (feat. Maty Noyes) - Snareskin Remix,0.0
278,Purple Hat,2.0
279,Rocky,8.0
280,Peaches (feat. Daniel Caesar & Giveon),5.0
281,Mystery Lady (feat. Don Toliver),4.0
282,Our House (The Mess We Made),3.0
283,I'm a Sucker for a Liar in a Red Dress,5.0
284,Cheating is a crime,5.0
285,Dirty Dishes,1.0
286,We are the Hearts,3.0
287,Back Of My Car,0.0
288,Afraid,0.0
289,Bravado (fg. VII),1.0
290,overwhelmed - Ookay remix,4.0
291,Let You Go - A-Trak Remix,2.0
292,Insane,0.0
293,Moonshine,8.0
294,Make You Mine,4.0
295,Tomorrow,0.0
296,LOVED FOREVER,2.0
297,Osiris,0.0
298,Smile,2.0
299,Disarm You (feat. Ilsey) - Grey Remix,0.0
300,Let It Burn,0.0
301,We Don't Care,0.0
302,Nowhere,2.0
303,Maybe,3.0
304,Avoiding,2.0
305,いじめっ子Bully,0.0
306,Everything (feat. John Legend),1.0
307,Starboy,2.0
308,Crew (feat. Brent Faiyaz & Shy Glizzy) - Lido Remix,4.0
309,Maybe I,9.0
310,Dirty Dishes,1.0
311,Die Young,2.0
312,Lullabies - Adventure Club Remix,0.0
313,Would You,2.0
314,Ride My Bike,2.0
315,We are the Hearts,3.0
316,Scars (feat. Yung Pinch),2.0
317,Maybe I,9.0
318,18,2.0
319,Crush,0.0
320,Know,1.0
321,覚醒,4.0
322,MINT,0.0
323,Why Not Me,2.0
324,Hypnotic - Vanic Remix,0.0
325,Season 2 Episode 3,9.0
326,One Time,6.0
327,INDUSTRY BABY (feat. Jack Harlow),4.0
328,moniker,8.0
329,My Own Behavior,9.0
330,You Say,2.0
331,Burner,8.0
332,I Want You,0.0
333,Morning Coffee (bubble ver.),5.0
334,all this edm,0.0
335,Co-Pilot,0.0
336,Violent Crimes,6.0
337,Astronaut In The Ocean,0.0
338,iced tea,1.0
339,Warrior - Zephure Remix,3.0
340,CROWN,0.0
341,Cotton Candy Clouds,2.0
342,Wtf U Mean,5.0
343,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0.0
344,Where Angels Fear To Tread,7.0
345,All I Know Is...,0.0
346,Chroma,2.0
347,Caroline,6.0
348,White Rabbit,0.0
349,Neighbors,0.0
350,You & Me,8.0
351,On the Run,0.0
352,River,2.0
353,Dynasties and Dystopia (from the series Arcane League of Legends),5.0
354,Blue Rhapsody,2.0
355,Tokyo Drifting (with Denzel Curry),0.0
356,you won't do shit,4.0
357,Mama Saturn,8.0
358,Papi Chulo,2.0
359,Coyote,0.0
360,Plastic Dreams,2.0
361,Dr0nched In Sw0t,0.0
362,Pill,9.0
363,Chasing Tail (Madnap Remix),4.0
364,Sweet Sugar Getaway,4.0
365,Down,9.0
366,Taking Shape (feat. Willemijn May),0.0
367,The Alchemist,1.0
368,late hour,1.0
369,Sugar,0.0
370,Hello Hello Hello,5.0
371,Houndin,5.0
372,Poplar St,0.0
373,Pressure,2.0
374,ここにいる - Stephen Walking Remix,4.0
375,Statues,4.0
376,Love is a Miracle,0.0
377,No Sleep,0.0
378,Are We Cool?,2.0
379,Best Friends,4.0
380,Flowers,0.0
381,Stepped On A Bee,2.0
382,Nice Girl,9.0
383,Emerald,5.0
384,Hangover Heartache,4.0
385,Lunatic,0.0
386,CHARMANDER,0.0
387,Cry (feat. Grimes),0.0
388,The Way,0.0
389,Twenty Seven,0.0
390,Category Five,2.0
391,Sight,9.0
392,Holy,0.0
393,Sanity,0.0
394,Black Screen,1.0
395,Cure Me,4.0
396,Hopeless,2.0
397,Circles,5.0
398,All In My Head (feat. grandson),0.0
399,Out of Space (Rude. Remix),6.0
400,Bitter,4.0
401,KID,5.0
402,bubble tea,6.0
403,Lotus,4.0
404,Sorbet,5.0
405,Who Would Have Thought,0.0
406,Lately,5.0
407,Open Spaces,0.0
408,Find Someone - DROELOE Remix,5.0
409,"Sunlight, Quiet, Flowers",9.0
410,Marilyn Monroe,6.0
411,The Moments I'm Missing,8.0
412,Flow,7.0
413,Obsessed,6.0
414,ON MY MIND,5.0
415,Don't Wanna Be Famous,2.0
416,Easier,3.0
417,Rocketship,9.0
418,Goodie Bag,8.0
419,Love U Like the Sun in June,4.0
420,For You,0.0
421,For You,0.0
422,Ice Queen,4.0
423,Take Cover,9.0
424,Sad City,8.0
425,Ambulance,0.0
426,still feel.,0.0
427,Ground All Day,4.0
428,Smoke and Mirrors,5.0
429,Happy Love - SAINT WKND Remix,0.0
430,Give What You Take,4.0
431,Cavalier,0.0
432,Pixel Fairy,4.0
433,My Head Hurts,9.0
434,Hide,3.0
435,Someone Better,2.0
436,Empty Bed,2.0
437,Flowers in Decay,8.0
438,Too Close,8.0
439,Don't You Forget About Me,4.0
440,A Little Messed Up - Acoustic,9.0
441,Monica,7.0
442,Bring Me Down,0.0
443,WEATHER,0.0
444,First Person on Earth,6.0
445,For You,0.0
446,Habit,5.0
447,Indigo Puff,3.0
448,Unwind,8.0
449,Bambi,2.0
450,All I Am,4.0
451,Good Lovin' - Rework,5.0
452,Lost Love,5.0
453,Soju on Sunday,1.0
454,Rocket Science,7.0
455,Runnin,0.0
456,Outta PA,1.0
457,Passionfruit,2.0
458,Archaeology,2.0
459,Blue Crush,0.0
460,Favorite Thing,5.0
461,woodtypebeat,1.0
462,All Mine - Bonjr Remix,2.0
463,Right On Time,2.0
464,Indigo Puff,3.0
