,Title,Class,,,,,Count,Percentage
677,Ride,9,,,,,,
678,Powerful,3,,,,,,
679,Hide Away,1,,,,,,
680,Candyman,8,,,,,,
681,Secrets,3,,,,,,
682,7 Years,9,,,,,,
683,Hall of Fame (feat. will.i.am),9,,,,,,
684,YOUTH,9,,,,,,
685,Airplanes (feat. Hayley Williams of Paramore),2,,,,,,
686,Closer - T-Mass Remix,9,,,,,,
687,Cold Water,2,,,,,,
688,Stitches,3,,,,,,
689,How Deep is Your Love (feat. Disciples),1,,,,,,
690,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2,,,,,,
691,Lake Effect Kid,9,,,,,,
692,idontwannabeyouanymore,7,,,,,,
693,Hope (feat. Philip Nolan),8,,,,,,
694,party favor,7,,,,,,
695,you should see me in a crown,7,,,,,,
696,xanny,7,,,,,,
697,Birthday Party,3,,,,,,
698,100 Bad Days,9,,,,,,
699,Don't Throw Out My Legos,3,,,,,,
700,when the party's over,7,,,,,,
701,Drama,3,,,,,,
702,18,9,,,,,,
703,Social Climb,1,,,,,,
704,bad guy,5,,,,,,
705,COPYCAT,8,,,,,,
706,Love Myself,8,,,,,,
707,Symphony (feat. Zara Larsson),8,,,,,,
708,Lush Life,1,,,,,,
709,Weak,9,,,,,,
710,Tonight Tonight,3,,,,,,
711,Let Me Down Slowly,2,,,,,,
712,Greek God,8,,,,,,
713,Can't Hold Me Down,5,,,,,,
714,Generation Why,9,,,,,,
715,The King,3,,,,,,
716,Short Change Hero,2,,,,,,
717,No New Friends,9,,,,,,
718,Chasing The Sun,2,,,,,,
719,Some Nights,3,,,,,,
720,All The Stars (with SZA),9,,,,,,
721,Don't Stop Me Now - Remastered 2011,5,,,,,,
722,bury a friend,7,,,,,,
723,When I Was Your Man,7,,,,,,
724,Millionaire (feat. Nelly) - Alan Walker Remix,9,,,,,,
725,"You Can't Stop This Motherf**ker - Choir Only Mix (from ""Deadpool 2"")",7,,,,,,
726,"Hey, Soul Sister",2,,,,,,
727,Good Old Days (feat. Kesha),7,,,,,,
728,Demons,3,,,,,,
729,Sheep (Alan Walker Relift),8,,,,,,
730,Lost Control,5,,,,,,
731,Bonfire,5,,,,,,
732,IV. Sweatpants,3,,,,,,
733,Antidote,3,,,,,,
734,Stereo Hearts (feat. Adam Levine),9,,,,,,
735,do re mi,5,,,,,,
736,iSpy (feat. Lil Yachty),7,,,,,,
737,Lily,2,,,,,,
738,Do It All for You,3,,,,,,
739,Different World (feat. CORSAK),2,,,,,,
740,Good Time,9,,,,,,
741,The Kids Aren't Alright,5,,,,,,
742,Hurt,6,,,,,,
743,Legends Never Die (Alan Walker Remix),1,,,,,,
744,Lonely (feat. ISÁK & Omar Noir),8,,,,,,
745,Strongest (Alan Walker Remix),3,,,,,,
746,Issues - Alan Walker Remix,9,,,,,,
747,Sky,0,,,,,,
748,Diamond Heart,3,,,,,,
749,Alone,5,,,,,,
750,All Falls Down (feat. Juliander),3,,,,,,
751,The Spectre,8,,,,,,
752,Faded,5,,,,,,
753,After the Afterparty (feat. Lil Yachty) - Alan Walker Remix,9,,,,,,
754,Drowning (feat. Kodak Black),2,,,,,,
755,American Boy (feat. Kanye West),3,,,,,,
756,Fade,5,,,,,,
757,Tired,9,,,,,,
758,Sing Me to Sleep,8,,,,,,
759,Stranger Things (feat. OneRepublic) - Alan Walker Remix,3,,,,,,
760,Ignite,1,,,,,,
761,Where Are Ü Now (with Justin Bieber) - Marshmello Remix,5,,,,,,
762,Happier,9,,,,,,
763,Twin Skeleton's (Hotel In NYC),8,,,,,,
764,Fourth Of July,2,,,,,,
765,Novocaine,3,,,,,,
766,Jet Pack Blues,2,,,,,,
767,Bones (feat. OneRepublic),3,,,,,,
768,The Haunting,1,,,,,,
769,Let's Hurt Tonight,5,,,,,,
770,Future Looks Good,5,,,,,,
771,Kids,3,,,,,,
772,Dream,1,,,,,,
773,Choke,8,,,,,,
774,Fingertips,6,,,,,,
775,Human,2,,,,,,
776,Lift Me Up,2,,,,,,
777,NbHD,2,,,,,,
778,Wherever I Go,1,,,,,,
779,All These Things,5,,,,,,
780,Heaven,1,,,,,,
781,Better,9,,,,,,
782,Born,8,,,,,,
783,Keep on Keeping On (feat. Brendon Urie),2,,,,,,
784,HOLD ME TIGHT OR DON’T,2,,,,,,
785,Stay Frosty Royal Milk Tea,2,,,,,,
786,The Phoenix,2,,,,,,
787,"This Ain't A Scene, It's An Arms Race",5,,,,,,
788,My Songs Know What You Did In The Dark (Light Em Up),1,,,,,,
789,Uma Thurman,2,,,,,,
790,Immortals,3,,,,,,
791,"Dance, Dance",1,,,,,,
792,Thnks fr th Mmrs,1,,,,,,
793,The Greatest Show,1,,,,,,
794,Way Up,1,,,,,,
795,Save The Day (feat. Coi Leray & LouGotCash),2,,,,,,
796,Let Go,7,,,,,,
797,Scared of the Dark (feat. XXXTENTACION),8,,,,,,
798,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",2,,,,,,
799,Home,1,,,,,,
800,Not Alone,9,,,,,,
801,Memories,2,,,,,,
802,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",1,,,,,,
803,What's Up Danger (with Black Caviar),3,,,,,,
804,Sarcasm,2,,,,,,
805,Hide (feat. Seezyn),8,,,,,,
806,Invincible,1,,,,,,
807,Sunflower - Spider-Man: Into the Spider-Verse,7,,,,,,
808,Start a Riot,3,,,,,,
809,Revolution,1,,,,,,
810,Back from the Edge,2,,,,,,
811,Burn the House Down,3,,,,,,
812,Feel It Still,2,,,,,,
813,Stole the Show,1,,,,,,
814,Time to Dance,1,,,,,,
815,Do You Know What I'm Seeing?,1,,,,,,
816,Behind the Sea,5,,,,,,
817,London Beckoned Songs About Money Written by Machines,2,,,,,,
818,Pas de Cheval,9,,,,,,
819,Sandcastles,1,,,,,,
820,Vegas Lights,9,,,,,,
821,Far Too Young to Die,2,,,,,,
822,Memories,8,,,,,,
823,Trade Mistakes,5,,,,,,
824,"Nails for Breakfast, Tacks for Snacks",9,,,,,,
825,Ready to Go (Get Me Out of My Mind),3,,,,,,
826,Always,7,,,,,,
827,When the Day Met the Night,5,,,,,,
828,Closer,7,,,,,,
829,In the Name of Love,8,,,,,,
830,Kids,3,,,,,,
831,American Beauty/American Psycho,3,,,,,,
832,"Sugar, We're Goin Down",9,,,,,,
833,Monster,3,,,,,,
834,Serial Killer,8,,,,,,
835,Lost In Japan - Remix,9,,,,,,
836,Mountains,3,,,,,,
837,The Greatest Show,1,,,,,,
838,It's Not This,2,,,,,,
839,She Had the World,5,,,,,,
840,Camisado,3,,,,,,
841,Dancing In The Dark,7,,,,,,
842,Darkside,8,,,,,,
843,Friction,5,,,,,,
844,Youngblood,1,,,,,,
845,American Idiot,3,,,,,,
846,Mad as Rabbits,9,,,,,,
847,Let's Kill Tonight,8,,,,,,
848,Psycho,9,,,,,,
849,Promises - Sonny Fodera Remix,2,,,,,,
850,Diamond Heart,3,,,,,,
851,Warriors,8,,,,,,
852,Radioactive,1,,,,,,
853,Yesterday,5,,,,,,
854,Cha-Ching (Till We Grow Older),5,,,,,,
855,Gold,1,,,,,,
856,Monster,3,,,,,,
857,"Dear Maria, Count Me In",3,,,,,,
858,Walking The Wire,5,,,,,,
859,Dancing In The Dark,7,,,,,,
860,I Don’t Know Why,3,,,,,,
861,Next To Me,3,,,,,,
862,Tear in My Heart,3,,,,,,
863,Young And Menace,5,,,,,,
864,Hurricane,1,,,,,,
865,The Last Of The Real Ones,9,,,,,,
866,Heavydirtysoul,1,,,,,,
867,Choke,3,,,,,,
868,Dressed In Black,3,,,,,,
869,Boulevard of Broken Dreams,4,,,,,,
870,Teenagers,3,,,,,,
871,Girl That You Love,5,,,,,,
872,Nearly Witches (Ever Since We Met...),5,,,,,,
873,C'mon - Single Version,3,,,,,,
874,Sarah Smiles,3,,,,,,
875,I Constantly Thank God for Esteban,2,,,,,,
876,"The Good, the Bad and the Dirty",1,,,,,,
877,The Ballad of Mona Lisa,1,,,,,,
878,Miss Jackson (feat. LOLO),3,,,,,,
879,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",2,,,,,,
880,Northern Downpour,5,,,,,,
881,The Overpass,1,,,,,,
882,One of the Drunks,1,,,,,,
883,Casual Affair,2,,,,,,
884,Nine in the Afternoon - Single Mix,5,,,,,,
885,Hallelujah,9,,,,,,
886,House of Memories,1,,,,,,
887,This Is Gospel,9,,,,,,
888,Dying in LA,7,,,,,,
889,Wilson (Expensive Mistakes),9,,,,,,
890,But It's Better If You Do,1,,,,,,
891,"Build God, Then We'll Talk",1,,,,,,
892,Crazy = Genius,3,,,,,,
893,LA Devotee,9,,,,,,
894,Impossible Year,5,,,,,,
895,The Only Difference Between Martyrdom and Suicide Is Press Coverage,2,,,,,,
896,Girls / Girls / Boys,1,,,,,,
897,The Calendar,3,,,,,,
898,Bohemian Rhapsody,5,,,,,,
899,Golden Days,5,,,,,,
900,Nicotine,2,,,,,,
901,Emperor's New Clothes,3,,,,,,
902,Don't Threaten Me with a Good Time,8,,,,,,
903,I Write Sins Not Tragedies,1,,,,,,
904,Old Fashioned,2,,,,,,
905,King of the Clouds,8,,,,,,
906,Dancing's Not a Crime,9,,,,,,
907,Say Amen (Saturday Night),2,,,,,,
908,Roaring 20s,3,,,,,,
909,High Hopes,9,,,,,,
910,"Hey Look Ma, I Made It",9,,,,,,
911,(Fuck A) Silver Lining,2,,,,,,
912,I'm Not Famous,9,,,,,,
913,Death of a Bachelor,3,,,,,,
914,Victorious,9,,,,,,
915,Easy,3,,,,,,
916,Just Got Something,8,,,,,,
917,Burn the House Down,3,,,,,,
918,Lucid Dreams,8,,,,,,
919,Natural,3,,,,,,
920,Letting Go,3,,,,,,
921,On My Way (feat. Leah Haywood),5,,,,,,
922,Fired Up,1,,,,,,
923,Audio,8,,,,,,
924,Connection,5,,,,,,
925,Oh Child,9,,,,,,
926,Sober Up,7,,,,,,
927,Everything Black (feat. Mike Taylor),2,,,,,,
928,Rolex,3,,,,,,
929,Young Dumb & Broke,3,,,,,,
930,All My Friends (feat. Tinashe & Chance the Rapper),3,,,,,,
931,Regicide,4,,,,,,
932,Mara's Theme,0,,,,,,
933,Deep Stone Lullaby,4,,,,,,
934,Blue Diamond,4,,,,,,
935,Krigsgaldr,4,,,,,,
936,Into the Fray,0,,,,,,
937,Quid Pro Quo,6,,,,,,
938,Bushido,0,,,,,,
939,Anxiety,4,,,,,,
940,The Mad Wizard,0,,,,,,
941,An Uneasy Campfire,0,,,,,,
942,A Hero Rises,0,,,,,,
943,The Sunken City,4,,,,,,
944,Bioluminescence,7,,,,,,
945,Vile Chronometry,3,,,,,,
946,Twin Desolate Worlds,4,,,,,,
947,Among the Blighted Angels,0,,,,,,
948,Tears for a Lost Soul,0,,,,,,
949,Dirge from Dark Side,0,,,,,,
950,Godskin Apostles,0,,,,,,
951,Alpha & Omega,3,,,,,,
952,"Bel'Veth, the Empress of the Void",4,,,,,,
953,Danse Macabre,0,,,,,,
954,"Shell of What Was (From ""Destiny 2"")",0,,,,,,
955,Hunter x Hunter - Zoldyck Family Theme - Remix,0,,,,,,
956,River Fallen,0,,,,,,
957,Warbringers: Azshara,4,,,,,,
958,"Sleeping in the Cold Below (From ""Warframe"")",1,,,,,,
959,Mercy,8,,,,,,
960,États d'amour,9,,,,,,
961,J'ai cherché,3,,,,,,
962,Les rues de ma peine,9,,,,,,
963,On dirait,3,,,,,,
964,Sors de ma tête,1,,,,,,
965,Que le temps s'arrête,8,,,,,,
966,No Vacancy (feat. Amir),9,,,,,,
967,Dumbo,7,,,,,,
968,Caresse sur l'océan,7,,,,,,
969,Vois sur ton chemin,6,,,,,,
970,La Nuit,7,,,,,,
971,Sur la lune,5,,,,,,
972,Que ça dure,1,,,,,,
973,Dommage,1,,,,,,
974,Insolent 3,9,,,,,,
975,Seule Issue,2,,,,,,
976,Poker,3,,,,,,
977,Idéal paradoxal,8,,,,,,
978,Impneuratrice,2,,,,,,
